field,value
n_scheda,42158
segnatura,SR
noName,262.1/237
cod_sez,AE
n_s_sez,3
autore,"GOUYON, PAUL, ARCIV. DI RENNES"
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1966-68
volume,2025-01-01 00:00:00
pagine,112
formato,18
collezion,CONCILIO NELLA VITA N.2
data_crea,2003-02-28 00:00:00
n_scheda,42157
segnatura,SR
noName,262.1/236
cod_sez,AE
n_s_sez,3
autore,"RENARD, ALEXANDRE C., CARD."
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1966-68
volume,2025-01-01 00:00:00
pagine,68
formato,18
collezion,CONCILIO NELLA VITA N.4
data_crea,2003-02-28 00:00:00
n_scheda,42156
segnatura,SR
noName,262.1/235
cod_sez,AE
n_s_sez,3
autore,"RENARD, ALEXANDRE C., CARD."
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1966-68
volume,2025-01-01 00:00:00
pagine,88
formato,18
collezion,CONCILIO NELLA VITA N.5
data_crea,2003-02-28 00:00:00
n_scheda,42155
segnatura,SR
noName,262.1/234
cod_sez,AE
n_s_sez,3
autore,"VIGANO', ANGELO"
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1977
volume,2025-01-01 00:00:00
pagine,45
formato,18
collezion,VITA DELLA CHIESA N.13
data_crea,2003-02-28 00:00:00
n_scheda,42154
segnatura,SR
noName,262.1/233
cod_sez,AE
n_s_sez,3
autore,"VIGANO', ANGELO"
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1994
volume,2025-01-01 00:00:00
pagine,64
formato,18
collezion,VITA CONSACRATA N.26
data_crea,2003-02-28 00:00:00
n_scheda,42153
segnatura,SR
noName,262.1/232
cod_sez,AE
n_s_sez,3
autore,"VIGANO', ANGELO"
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1993
volume,2025-01-01 00:00:00
pagine,40
formato,18
collezion,VITA CONSACRATA N.21
data_crea,2003-02-28 00:00:00
n_scheda,42152
segnatura,SR
noName,262.1/231
cod_sez,AE
n_s_sez,3
autore,"VIGANO', ANGELO"
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1981
volume,2025-01-01 00:00:00
pagine,86
formato,18
collezion,VITA CONSACRATA N.10
data_crea,2003-02-28 00:00:00
n_scheda,42151
segnatura,SR
noName,262.1/230
cod_sez,AE
n_s_sez,3
autore,"VIGANO', EGIDIO"
titolo,LA VITA CONSACRATA OGGI CONVEGNO DEI SUPERIORI GENERALI IN PREPARAZIONE AL SINODO 1994
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1994
volume,2025-01-01 00:00:00
pagine,31
formato,18
collezion,VITA CONSACRATA N.24
data_crea,2003-02-28 00:00:00
n_scheda,42150
segnatura,SR
noName,262.1/229
cod_sez,AE
n_s_sez,3
autore,"VACCA, MARIO"
titolo,RELIGIOSI E RELIGIOSE NELLA VITA PASTORALE DELLA CHIESA DIOCESANA UN CAMMINO DI COMUNIONE
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1993
volume,2025-01-01 00:00:00
pagine,32
formato,18
collezion,VITA CONSACRATA N.22
data_crea,2003-02-28 00:00:00
n_scheda,42149
segnatura,SR
noName,262.1/228
cod_sez,AE
n_s_sez,3
autore,"VACCA, MARIO"
titolo,PARROCCHIE AFFIDATE A RELIGIOSI: SUPPLENZA O SPAZIO PER UNA SPECIFIC ITA' DI ANNUNCIO?
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1978
volume,2025-01-01 00:00:00
pagine,24
formato,18
collezion,VITA CONSACRATA N.2
data_crea,2003-02-28 00:00:00
n_scheda,42148
segnatura,SR
noName,255 T9
cod_sez,AE
n_s_sez,3
autore,"TILLARD, J.-M. ROGER, O.P."
edizione,I
luogo_pub,ROMA
editore,U.S.M.I.
data_pub,COPYRIGHT 1975
volume,2025-01-01 00:00:00
pagine,80
formato,18
data_crea,2003-02-28 00:00:00
n_scheda,42147
segnatura,SR
noName,262.1/227
cod_sez,AE
n_s_sez,3
autore,"GOZZELINO, GIORGIO"
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1978
volume,2025-01-01 00:00:00
pagine,80
formato,18
collezion,VITA CONSACRATA N.1
data_crea,2003-02-28 00:00:00
n_scheda,42146
segnatura,SR
noName,262.1/226
cod_sez,AE
n_s_sez,3
autore,"GIUDICI, MARIA PIA"
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1982
volume,2025-01-01 00:00:00
pagine,56
formato,18
collezion,VITA CONSACRATA N.11
data_crea,2003-02-28 00:00:00
n_scheda,42145
segnatura,SR
noName,262.1/225
cod_sez,AE
n_s_sez,3
autore,"FEDRIGOTTI, GIOVANNI"
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1995
volume,2025-01-01 00:00:00
pagine,40
formato,18
collezion,VITA CONSACRATA N.28
data_crea,2003-02-28 00:00:00
n_scheda,42144
segnatura,SR
noName,262.1/224
cod_sez,AE
n_s_sez,3
autore,"BAROFFIO, BONIFACIO"
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1980
volume,2025-01-01 00:00:00
pagine,48
formato,18
collezion,VITA CONSACRATA N.6
data_crea,2003-02-28 00:00:00
n_scheda,42143
segnatura,SR
noName,262.1/223
cod_sez,AE
n_s_sez,3
autore,"BOSCO, VALENTINO, S.M.M."
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1980
volume,2025-01-01 00:00:00
pagine,48
formato,18
collezion,VITA CONSACRATA N.5
data_crea,2003-02-28 00:00:00
n_scheda,42142
segnatura,SR
noName,262.1/222
cod_sez,AE
n_s_sez,3
autore,"BOSCO, VALENTINO, S.M.M."
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1992
volume,2025-01-01 00:00:00
pagine,116
formato,18
collezion,VITA CONSACRATA N.20
data_crea,2003-02-28 00:00:00
n_scheda,42141
segnatura,SR
noName,262.1/221
cod_sez,AE
n_s_sez,3
autore,"BOSCO, VALENTINO, S.M.M."
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,47
formato,18
collezion,VITA CONSACRATA N.18
data_crea,2003-02-28 00:00:00
n_scheda,42140
segnatura,SR
noName,262.1/220
cod_sez,AE
n_s_sez,3
autore,"BOSCO, VALENTINO, S.M.M."
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1978
volume,2025-01-01 00:00:00
pagine,32
formato,18
collezion,VITA CONSACRATA N. 4
data_crea,2003-02-28 00:00:00
n_scheda,42139
segnatura,SR
noName,262.1/219
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1988
volume,2025-01-01 00:00:00
pagine,24
formato,18
collezion,SERVIZIO DELL'UNITA' N. 63
data_crea,2003-02-28 00:00:00
n_scheda,42138
segnatura,SR
noName,262.1/218
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE
titolo,L'AMMISSIONE DELLE DONNE AL SACERDOZIO MINISTERIALE -INTER INSIGNIORES- 1975
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1975
volume,2025-01-01 00:00:00
pagine,55
formato,18
collezion,SERVIZIO DELL'UNITA' N. 10
data_crea,2003-02-28 00:00:00
n_scheda,42137
segnatura,TD
noName,"5,18"
cod_sez,TD
n_s_sez,5
autore,"TANQUEREY, ADOLFO"
titolo,DE PENITENTIA ET MATRIMONIO; PARS DOGMATICA AQUINATIS...
edizione,V
luogo_pub,PARISIIS-ROMAE
editore,TYPIS SOC. SANCTI JOANNIS EVANGELISTE
data_pub,1945
volume,2025-01-01 00:00:00
pagine,195
formato,21.5
note_sp,IN TESTA FRONT.: SYNOPSIS THEOLOGIAE DOGMATICAE AD
data_crea,2003-02-27 00:00:00
n_scheda,42136
segnatura,CP
noName,"4/4,IV"
cod_sez,CP
n_s_sez,4
autore,"MARTINATI, ALDO, SAC."
titolo,LA DOTTRINA CATTOLICA. CON COMMENTI DEI PADRI E DOTTORI DELLA CHIESA E DI SCRITTORI ANTICHI E MODERNI. IV: LE VIRTU` E LA PREGHIERA
luogo_pub,PADOVA
editore,TIP. ANTONIANA
data_pub,1953
volume,2025-04-04 00:00:00
pagine,586
formato,25
data_crea,2003-02-27 00:00:00
n_scheda,42135
segnatura,CP
noName,"4/4,III"
cod_sez,CP
n_s_sez,4
autore,"MARTINATI, ALDO, SAC."
titolo,LA DOTTRINA CATTOLICA. CON COMMENTI DEI PADRI E DOTTORI DELLA CHIESA E DI SCRITTORI ANTICHI E MODERNI. III: LA GRAZIA
luogo_pub,PADOVA
editore,TIP. ANTONIANA
data_pub,1943
volume,2025-04-03 00:00:00
pagine,"8 F.P.,592"
formato,25
data_crea,2003-02-27 00:00:00
n_scheda,42134
segnatura,CP
noName,"4/4,II"
cod_sez,CP
n_s_sez,4
autore,"MARTINATI, ALDO, SAC."
