field,value
collabor,"M.D. MAROCCHI, TRAD."
edizione,I
luogo_pub,BOLOGNA
editore,EMI
data_pub,COPYRIGHT 1994
volume,2025-01-01 00:00:00
pagine,159
illustr,FOTO
formato,19
collezion,BIOGRAFIE
data_crea,2003-01-29 00:00:00
n_scheda,41617
segnatura,SR
noName,920 G82
cod_sez,SE
n_s_sez,30
autore,"GIOVANNA, DELLA CROCE"
titolo,EDITH STEIN SANTA TERESA BENEDETTA DELLA CROCE
edizione,I
luogo_pub,MILANO
editore,MIMEP - DOCETE
data_pub,COPYRIGHT 1998
volume,2025-01-01 00:00:00
pagine,205
formato,17
collezion,BIOGRAFIE
data_crea,2003-01-29 00:00:00
n_scheda,41616
segnatura,SR
noName,242(L C48
cod_sez,SP
n_s_sez,17
autore,"CORTI, RENATO"
edizione,I
luogo_pub,CASALE MONFERRATO
editore,PIEMME
data_pub,COPYRIGHT 1995
volume,2025-01-01 00:00:00
pagine,120
formato,18
collezion,I TRIANGOLI N.2
data_crea,2003-01-29 00:00:00
n_scheda,41615
segnatura,SR
noName,242(P CL
cod_sez,SP
n_s_sez,17
autore,"CALATI, BENEDETTO, CAMALD."
collabor,LELOIR-LOUF
edizione,I
luogo_pub,MAGNANO-VC
editore,QIQAJON
data_pub,COPYRIGHT 1983
volume,2025-01-01 00:00:00
pagine,312
formato,21
collezion,PREGHIERA
data_crea,2003-01-29 00:00:00
n_scheda,41614
segnatura,SR
noName,159.1 B8
cod_sez,SP
n_s_sez,17
autore,"BALLESTER, MARIANO"
collabor,"G. CARRARO, TRAD."
edizione,II
luogo_pub,PADOVA
editore,MESSAGGERO
data_pub,COPYRIGHT 1996
volume,2025-01-01 00:00:00
pagine,125
formato,19
collezion,IL POZZO DI GIACOBBE
data_crea,2003-01-29 00:00:00
n_scheda,41613
segnatura,SR
noName,232.91 F10
cod_sez,SP
n_s_sez,16
autore,"FANZAGA, PADRE LIVIO"
collabor,"COMMENTO AL ""SEGRETO DI MARIA"" DI S. L. M. DA MONTFORT"
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1998
volume,2025-01-01 00:00:00
pagine,130
formato,20
collezion,MODELLO E PRESENZA N. 20
data_crea,2003-01-29 00:00:00
n_scheda,41612
segnatura,SR
noName,232.91 S20
cod_sez,SP
n_s_sez,16
autore,"SEBASTIANI, LILIA"
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1996
volume,2025-01-01 00:00:00
pagine,208
formato,21
collezion,CAMMINI NELLO SPIRITO N.1
data_crea,2003-01-29 00:00:00
n_scheda,41611
segnatura,SR
noName,242(L P77
cod_sez,SP
n_s_sez,14
autore,"POLLANO, GIUSEPPE"
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1999
volume,2025-01-01 00:00:00
pagine,230
formato,22
collezion,"RELIGIOSI, IERI, OGGI, DOMANI N.13"
data_crea,2003-01-29 00:00:00
n_scheda,41610
segnatura,SR
noName,248.2 B14
cod_sez,SP
n_s_sez,14
autore,"BELLINI, MARTA"
collabor,GIUSEPPE DE CARLI
edizione,I
luogo_pub,MILANO
editore,SPERLING KUPFER
data_pub,COPYRIGHT 1996
volume,2025-01-01 00:00:00
pagine,244
formato,21
collezion,TESTIMONIANZE
data_crea,2003-01-29 00:00:00
n_scheda,41609
segnatura,SR
noName,242(L B105
cod_sez,SP
n_s_sez,10
autore,"BIANCHI, ENZO"
titolo,"RICOMINCIARE NELL'ANIMA, NELLA CHIESA, NEL MONDO"
collabor,"M. GUZZI, CURAT."
edizione,I
luogo_pub,GENOVA
editore,MARIETTI
data_pub,COPYRIGHT 1999
volume,2025-01-01 00:00:00
pagine,130
formato,22
collezion,TERZOMILLENNIO N. 36
data_crea,2003-01-29 00:00:00
n_scheda,41608
segnatura,SR
noName,242(L O14
cod_sez,SP
n_s_sez,10
autore,"OLIVERO, ERNESTO"
edizione,I
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 2001
volume,2025-01-01 00:00:00
pagine,200
formato,22
collezion,UOMINI E RELIGIONI
data_crea,2003-01-29 00:00:00
n_scheda,41607
segnatura,SR
noName,808.6 M11
cod_sez,SP
n_s_sez,13
autore,"MONTINI, GIOVANNI BATTISTA, CARD. ARCIV. DI MILANO"
collabor,MARINA VITTORIA ROSSETTI
edizione,I
luogo_pub,MILANO
editore,RIZZOLI
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,335
formato,22
collezion,"E. GHINI, CURAT."
data_crea,2003-01-29 00:00:00
n_scheda,41606
segnatura,SR
noName,216 B
cod_sez,SP
n_s_sez,18
autore,"BEDESCHI, LORENZO"
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1995
volume,2025-01-01 00:00:00
pagine,260
formato,22
collezion,I PROTAGONISTI N. 23
data_crea,2003-01-29 00:00:00
n_scheda,41605
segnatura,SR
noName,222.7 R
cod_sez,BL
n_s_sez,9
autore,"RAVASI, GIANFRANCO"
edizione,II
luogo_pub,BRESCIA
editore,QUERINIANA
data_pub,COPYRIGHT 1987
volume,2025-01-01 00:00:00
pagine,188
formato,21
collezion,LOB I.4
data_crea,2003-01-29 00:00:00
n_scheda,41604
segnatura,SR
noName,370.15 B4
cod_sez,PE
n_s_sez,6
autore,"BUSCAGLIA, LEO"
collabor,"R. MAINARDI, TRAD."
edizione,I
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1985
volume,2025-01-01 00:00:00
pagine,213
formato,20.5
collezion,INGRANDIMENTI
data_crea,2003-01-29 00:00:00
n_scheda,41603
segnatura,SR
noName,C.2 C3
cod_sez,C
n_s_sez,2
autore,"CONSIGLIO, ALBERTO"
collabor,FRANCOBALDO CHIOCCI
edizione,I
luogo_pub,ROMA
editore,ED. S. R.L.
data_pub,COPYRIGHT 1968
volume,2025-01-01 00:00:00
pagine,143
formato,21
collezion,BIOGRAFIE DEL SANTO
note_sp,PREFAZIONE DI DON F. ZAGO
data_crea,2003-01-29 00:00:00
n_scheda,41602
segnatura,SR
noName,232.91 N2
cod_sez,SP
n_s_sez,16
autore,"NOE', VIRGILIO"
titolo,COME L'HANNO AMATA! PROFILI DI SANTI MARIANI
edizione,I
luogo_pub,PADOVA
editore,MESSAGGERO
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,230
formato,23
collezion,MARIA SS.
data_crea,2003-01-29 00:00:00
n_scheda,41601
segnatura,SR*
noName,242(L S5
cod_sez,SP
n_s_sez,17
autore,"SCHWEITZER, ALBERT"
titolo,LA MELODIA DEL RISPETTO PER LA VITA PREDICHE DI STRASBURGO
collabor,"E. COLOMBO, CURAT."
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 2002
volume,2025-01-01 00:00:00
pagine,87
formato,21
collezion,TESTIMONIANZE
data_crea,2003-01-29 00:00:00
n_scheda,41600
segnatura,SR
noName,248.2 N8
cod_sez,SP
n_s_sez,17
autore,"NOUWEN, HENRI J. M."
collabor,"D. GALLON, TRAD."
edizione,I
luogo_pub,CASALE MONFERRATO
editore,PIEMME
data_pub,COPYRIGHT 1998
volume,2025-01-01 00:00:00
pagine,71
formato,21
collezion,SPIRITUALITA' E VITA COMUNE
data_crea,2003-01-29 00:00:00
n_scheda,41599
segnatura,SR
noName,242(L M123
cod_sez,SP
n_s_sez,17
autore,"MAGGIOLINI, SANDRO"
edizione,I
luogo_pub,CASALE MONFERRATO
editore,PIEMME
data_pub,COPYRIGHT 1992
volume,2025-01-01 00:00:00
pagine,116
formato,21
collezion,SCUOLA DELLA FEDE
data_crea,2003-01-29 00:00:00
n_scheda,41598
segnatura,TD
noName,"19,145"
cod_sez,TD
n_s_sez,19
autore,"MILLER, JOHN M., C.S.C. (ED.)"
titolo,LA TEOLOGIA DOPO IL VATICANO II. APPORTI DOTTRINALI E PROSPETTIVE PE R IL FUTURO IN UNA INTERPRETAZIONE ECUMENICA
luogo_pub,BRESCIA
editore,MORCELLIANA
data_pub,COPYRIGHT 1967
volume,2025-01-01 00:00:00
pagine,"XX,827"
formato,24
note_sp,CONTRIBUTI DI COLLABORATORI VARI
data_crea,2003-01-28 00:00:00
n_scheda,41594
segnatura,SR
noName,248.2 L10
cod_sez,SP
n_s_sez,17
autore,"LAPIERRE, DOMINIQUE"
collabor,"E. KLERSY IMBERCIADORI, TRAD."
edizione,I
luogo_pub,MILANO
editore,MONDADORI
data_pub,COPYRIGHT 1997
volume,2025-01-01 00:00:00
pagine,491
formato,24
collezion,TESTIMONIANZE / COLL. OMNIBUS
data_crea,2003-01-27 00:00:00
n_scheda,41593
segnatura,SR
noName,922.7 T
cod_sez,SE
n_s_sez,30
autore,"TINCQ, HENRI"
titolo,I GENI DEL CRISTIANESIMO STORIE DI PROFETI DI PECCATORI E DI SANTI
collabor,"G. TOLLARDO, TRAD."
edizione,I
luogo_pub,PADOVA
editore,MESSAGGERO
data_pub,COPYRIGHT 2001
volume,2025-01-01 00:00:00
pagine,223
formato,22
collezion,BIOGRAFIE/CRITICA
data_crea,2003-01-27 00:00:00
n_scheda,41592
segnatura,SR
noName,281 S2
cod_sez,P
n_s_sez,5
autore,"SULPICIO, SEVERO"
titolo,"VITA DI MARTINO S. GEROLAMO-VITA DI ILARIONE / IN MEMORIA DI PAOLA L. CANALI,C. MORESCHINI, TRAD."
collabor,"C. MOHRMANN, CURAT."
edizione,I
luogo_pub,VERONA
editore,MONDADORI
data_pub,COPYRIGHT 1975
volume,2025-01-01 00:00:00
pagine,383
formato,20
collezion,FONDAZ. L. VALLA / VITE DEI SANTI N. IV
data_crea,2003-01-27 00:00:00
n_scheda,41591
segnatura,SR*
noName,242(L T
cod_sez,SP
n_s_sez,17
autore,"FRERE JOHN, DI TAIZE"
collabor,"H. GATTINARI, TRAD."
edizione,I
luogo_pub,PADOVA
editore,MESSAGGERO
data_pub,COPYRIGHT 1987
volume,2025-01-01 00:00:00
pagine,269
formato,22
collezion,LAMPADA AI MIEI PASSI N. 1
data_crea,2003-01-27 00:00:00
n_scheda,41590
segnatura,SR*
noName,242(L S4
cod_sez,SP
n_s_sez,17
autore,"SCHUTZ, ROGER"
collabor,"E. MARINI, TRAD."
edizione,II
luogo_pub,BRESCIA
editore,MORCELLIANA
data_pub,COPYRIGHT 1972
volume,2025-01-01 00:00:00
pagine,123
formato,19
collezion,IL PELLICANO
data_crea,2003-01-27 00:00:00
n_scheda,41589
segnatura,SR*
noName,242(L S3
cod_sez,SP
n_s_sez,17
autore,"SCHUTZ, ROGER"
collabor,"F. AZZIMONTI, TRAD."
edizione,II
luogo_pub,BRESCIA
editore,MORCELLIANA
data_pub,COPYRIGHT 1971
volume,2025-01-01 00:00:00
pagine,135
formato,19
collezion,IL PELLICANO
data_crea,2003-01-27 00:00:00
n_scheda,41588
segnatura,SR*
noName,242(L S2
cod_sez,SP
n_s_sez,17
autore,"SCHUTZ, ROGER"
collabor,"BENEDETTINE DI S. MAGNO, TRAD."
edizione,II
luogo_pub,BRESCIA
editore,MORCELLIANA
data_pub,COPYRIGHT 1967
volume,2025-01-01 00:00:00
pagine,119
formato,19
collezion,IL PELLICANO
data_crea,2003-01-27 00:00:00
n_scheda,41587
segnatura,SR*
noName,242(L S1
cod_sez,SP
n_s_sez,17
autore,"SCHUTZ, ROGER"
collabor,"P. BAGATTINI, TRAD."
edizione,I
luogo_pub,BRESCIA
editore,MORCELLIANA
data_pub,COPYRIGHT 1991
volume,2025-01-01 00:00:00
pagine,122
formato,16
collezion,IL PELLICANO
data_crea,2003-01-27 00:00:00
n_scheda,41586
segnatura,SR*
noName,270.1 T
cod_sez,BL
n_s_sez,14
autore,"THEISSEN, GERD"
collabor,"M. FIORILLO, TRAD."
edizione,I
luogo_pub,TORINO
editore,CLAUDIANA
data_pub,COPYRIGHT 1979
volume,2025-01-01 00:00:00
pagine,187
formato,18.5
collezion,PICC. COLL. MODERNA/ SERIE SOCIOLOGICA N. 36
data_crea,2003-01-27 00:00:00
n_scheda,41585
segnatura,SR
noName,232 G11
cod_sez,TD
n_s_sez,16
autore,"GUIGNEBERT, CHARLES"
titolo,GESU' TO.
collabor,"M. ZINI, TRAD."
edizione,IV
luogo_pub,TORINO
editore,EINAUDI
data_pub,COPYRIGHT 1950
volume,2025-01-01 00:00:00
pagine,665
formato,21
collezion,"STUDI SU ""CRISTO"" / BIBLIOTECA DI CULTURA STORICA"
note_sp,ESPRESSIONE DEL PENSIERO CONTEMPORANEO CHE NEGA LA
data_crea,2003-01-26 00:00:00
n_scheda,41584
segnatura,SR*
noName,248.2 B8
cod_sez,TD
n_s_sez,9
autore,"BONHOEFFER, DIETRICH"
collabor,"A. ANDREINI, CURAT."
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 2001
volume,2025-01-01 00:00:00
pagine,248
formato,22
collezion,SAGGISTICA PAOLINE N. 5
data_crea,2003-01-25 00:00:00
n_scheda,41583
segnatura,SR*
noName,248.2 B7
cod_sez,TD
n_s_sez,9
autore,"BONHOEFFER, DIETRICH"
collabor,"A. GALLAS, CURAT."
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1988
volume,2025-01-01 00:00:00
pagine,575
illustr,CARTINE.
formato,22
collezion,CLASSICI DEL PENSIERO CRISTIANO N. 2
note_sp,LETTERE E SCRITTI DAL CARCERE
data_crea,2003-01-25 00:00:00
n_scheda,41582
segnatura,SR*
noName,248.2 B6
cod_sez,TD
n_s_sez,9
autore,"BONHOEFFER, DIETRICH"
collabor,"M.C. LAURENZI, TRAD."
edizione,I
luogo_pub,BRESCIA
editore,QUERINIANA
data_pub,COPYRIGHT 1991
volume,2025-01-01 00:00:00
pagine,194
formato,22
collezion,BIBLIOTECA DI CULTURA N. 3
note_sp,OPERE DI D. BONHOEFFER VOL. 5
data_crea,2003-01-25 00:00:00
n_scheda,41581
segnatura,SR*
noName,248.2 B5
cod_sez,TD
n_s_sez,9
autore,"BONHOEFFER, DIETRICH"
collabor,"J. SCHENK, TRAD."
edizione,IV
luogo_pub,BRESCIA
editore,QUERINIANA
data_pub,COPYRIGHT 1975
volume,2025-01-01 00:00:00
pagine,278
formato,20
collezion,NUOVI SAGGI N. 3
data_crea,2003-01-25 00:00:00
n_scheda,41580
segnatura,SR*
noName,248.2 B4
cod_sez,TD
n_s_sez,9
autore,"BONHOEFFER, DIETRICH"
collabor,"J.F. JOANNES, TRAD."
edizione,V
luogo_pub,BRESCIA
editore,QUERINIANA
data_pub,COPYRIGHT 1978
volume,2025-01-01 00:00:00
pagine,68
formato,20
collezion,NUOVI SAGGI N. 34
data_crea,2003-01-25 00:00:00
n_scheda,41579
segnatura,SR*
noName,248.2 B3
cod_sez,TD
n_s_sez,9
autore,"BONHOEFFER, DIETRICH"
collabor,"J. SCHENK, TRAD."
edizione,V
luogo_pub,BRESCIA
editore,QUERINIANA
data_pub,COPYRIGHT 1973
volume,2025-01-01 00:00:00
pagine,151
formato,20
collezion,NUOVI SAGGI N. 11
data_crea,2003-01-25 00:00:00
n_scheda,41578
segnatura,SR*
noName,248.2 B2
cod_sez,TD
n_s_sez,9
autore,"BONHOEFFER, DIETRICH"
collabor,"G. TOURN, CURAT."
edizione,I
luogo_pub,TORINO
editore,CLAUDIANA
data_pub,COPYRIGHT 1965
volume,2025-01-01 00:00:00
pagine,89
illustr,FOTO
formato,21
collezion,I TESTIMONI N. 3
data_crea,2003-01-25 00:00:00
n_scheda,41577
segnatura,SR*
noName,248.2 B1
cod_sez,TD
n_s_sez,9
autore,"BONHOEFFER, DIETRICH"
collabor,"A. MELLONI, CURAT."
edizione,I
luogo_pub,"MAGNANO,BI"
editore,COM. BOSE - QIQAJON
data_pub,COPYRIGHT 1999
volume,2025-01-01 00:00:00
pagine,89
formato,18
collezion,POESIE DAL CARCERE
data_crea,2003-01-25 00:00:00
n_scheda,41576
segnatura,SR*
noName,248.2 B
cod_sez,TD
n_s_sez,9
autore,"BONHOEFFER, DIETRICH"
collabor,"G. BARRA, CURAT."
edizione,I
luogo_pub,TORINO
editore,GRIBAUDI
data_pub,COPYRIGHT 1975
volume,2025-01-01 00:00:00
pagine,230
formato,19
collezion,COLL. ANTOLOGIE SPIRITUALI
data_crea,2003-01-25 00:00:00
n_scheda,41575
segnatura,SR*
noName,262.7 P
cod_sez,TD
n_s_sez,23
soggetto,SVILUPPI DELLA TEOLOGIA RADICALE IN GERMANIA
autore,"PENZO, GIORGIO"
edizione,I
luogo_pub,BRESCIA
editore,QUERINIANA
data_pub,COPYRIGHT 1970
volume,2025-01-01 00:00:00
pagine,224
formato,19
collezion,GIORNALE DI TEOLOGIA N.48
data_crea,2003-01-25 00:00:00
n_scheda,41574
segnatura,SR*
noName,241 C1
cod_sez,TD
n_s_sez,19
soggetto,"LEFEBRE, M. VESC. SCISMA A SEGUITO DEL VATICANO II"
autore,"CONGAR, YVES"
collabor,"L. BIANCHI, TRAD."
edizione,I
luogo_pub,BRESCIA
editore,QUERINIANA
data_pub,COPYRIGHT 1976
volume,2025-01-01 00:00:00
pagine,95
formato,19
collezion,GIORNALE DI TEOLOGIA N.98
data_crea,2003-01-25 00:00:00
n_scheda,41573
segnatura,SR
noName,281.9 S5
cod_sez,SP
n_s_sez,9
autore,"SOLOVEV, VLADIMIRO"
collabor,"MONASTERO DI FIESOLE, TRAD."
edizione,I
luogo_pub,TORINO
editore,MARIETTI
data_pub,COPYRIGHT 1949
volume,2025-01-01 00:00:00
pagine,160
formato,21.5
collezion,PRINCIPI DI SPIRITUALITA'
note_sp,FILOSOFO RUSSO=SOLOVIEV VLADIMIRO
data_crea,2003-01-25 00:00:00
n_scheda,41572
segnatura,SR*
noName,242(O B
cod_sez,SP
n_s_sez,2
autore,"BUNYAN, JOHN"
collabor,"A. S. PERRONE, TRAD."
edizione,I
luogo_pub,TORINO
editore,GRIBAUDI
data_pub,COPYRIGHT 1985
volume,2025-01-01 00:00:00
pagine,202
formato,21
collezion,OPERE DI SPIRITUALITA'
data_crea,2003-01-25 00:00:00
n_scheda,41571
segnatura,SR*
noName,242(L S
cod_sez,TD
n_s_sez,16
autore,"SCHULLER, ROBERT"
collabor,"L. MAGLIANO, TRAD."
edizione,I
luogo_pub,MILANO
editore,RIZZOLI
data_pub,COPYRIGHT 1986
volume,2025-01-01 00:00:00
pagine,223
formato,21
collezion,IL VANGELO PER RISOLVERE I PROBLEMI ESISTENZIALI
data_crea,2003-01-25 00:00:00
n_scheda,41570
segnatura,SR*
noName,232.7 M
cod_sez,TD
n_s_sez,16
autore,"MUGGERIDGE, MALCOLM"
collabor,"A. ROMACCIOTTI, TRAD."
edizione,I
luogo_pub,MILANO
editore,RUSCONI
data_pub,COPYRIGHT 1971
volume,2025-01-01 00:00:00
pagine,271
formato,18
collezion,GESU' STORICO-DIO RISCOPERTO - PROBLEMI ATTUALI
data_crea,2003-01-25 00:00:00
n_scheda,41569
segnatura,SR*
noName,232.7 A
cod_sez,TD
n_s_sez,16
autore,"AUGSTEIN, RUDOLF"
collabor,"GROFF,TOSTI,DE TONI, TRAD."
edizione,I
luogo_pub,MILANO
editore,BOMPIANI
data_pub,COPYRIGHT 1974
volume,2025-01-01 00:00:00
pagine,493
formato,23
collezion,GESU' STORICO SOTTO PROCESSO -
note_sp,"L'AUTORE E' IL FONDATORE DI ""DER SPIEGEL"""
data_crea,2003-01-25 00:00:00
n_scheda,41568
segnatura,SR*
noName,253 R
cod_sez,TD
n_s_sez,19
autore,"RAMSEY, A.M., ARCIV. DI CANTERBURY"
collabor,"G. VISCHIONI, TRAD."
edizione,I
luogo_pub,MODENA
editore,PAOLINE
data_pub,COPYRIGHT 1973
volume,2025-01-01 00:00:00
pagine,130
formato,17.5
collezion,"ECCLESIOLOGIA SECONDO LA ""CHIESA ANGLICANA"""
data_crea,2003-01-25 00:00:00
n_scheda,41567
segnatura,SR*
noName,230 G1
cod_sez,TD
n_s_sez,25
autore,"GIUSSANI, LUIGI"
edizione,I - 1 RIST.
luogo_pub,MILANO
editore,JACA BOOK
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,200
illustr,CARTINA DEI CENTRI UNIVERSITARI
formato,23
collezion,GIA' E NON ANCORA N. 167
note_sp,PROFILO STORICO DALLE ORIGINI AGLI ANNI '50
data_crea,2003-01-25 00:00:00
n_scheda,41566
segnatura,SR*
noName,230 R
cod_sez,TD
n_s_sez,13
autore,"RAMSEY, IAN T."
collabor,"F. COSTA, TRAD."
edizione,I
luogo_pub,MILANO
editore,LONGANESI
data_pub,COPYRIGHT 1963
volume,2025-01-01 00:00:00
pagine,193
formato,18.5
collezion,DOGMATICA IN COMUNE COI PROTESTANTI
data_crea,2003-01-25 00:00:00
n_scheda,41565
segnatura,SR*
noName,230 FV
cod_sez,TD
n_s_sez,13
titolo,"NUOVO LIBRO DELLA FEDE TEOLOGI CATTOLICI E PROTESTANTI PRESENTANO ""CONCORDATA"" LA FEDE FEINER J., VISCHER L. CURAT."
collabor,A.V.
edizione,I
luogo_pub,BRESCIA
editore,QUERINIANA
data_pub,COPYRIGHT 1975
volume,2025-01-01 00:00:00
pagine,617
formato,24
collezion,DOGMATICA IN COMUNE COI PROTESTANTI
data_crea,2003-01-25 00:00:00
n_scheda,41564
segnatura,SR*
noName,232 W
cod_sez,TD
n_s_sez,16
autore,"WHITE, ELLEN G."
collabor,"F. SANTINI, TRAD."
edizione,II
editore,CHIESA AVVENTISTA DEL 7 GIORNO
data_pub,COPYRIGHT 1979
volume,2025-01-01 00:00:00
pagine,637
illustr,TAVOLE-FOTO
formato,23
collezion,VANGELO TRATTO DALLA BIBBIA DEL DIODATI
data_crea,2003-01-25 00:00:00
n_scheda,41563
segnatura,SR*
noName,220
cod_sez,BL
n_s_sez,3
titolo,CHIAVE BIBLICA CONCORDANZA DELLA SACRA SCRITTURA (VALDESE)
collabor,A.V.
edizione,V
luogo_pub,TORINO
editore,CLAUDIANA
data_pub,COPYRIGHT 1978
volume,2025-01-01 00:00:00
pagine,753
formato,24.5
collezion,VERSIONE RIVEDUTA/VALDESE
data_crea,2003-01-25 00:00:00
n_scheda,41562
segnatura,SR*
noName,226.7 M
cod_sez,BL
n_s_sez,6
autore,"MIEGGE, GIOVANNI"
collabor,"B. CORSANI, CURAT."
edizione,I
luogo_pub,TORINO
editore,CLAUDIANA
data_pub,COPYRIGHT 1970
volume,2025-01-01 00:00:00
pagine,284
formato,24
collezion,COLLANA DELLA FACOLTA' TEOLOGICA VALDESE DI TEOLOG
data_crea,2003-01-25 00:00:00
n_scheda,41561
segnatura,SR*
noName,262 S
cod_sez,TD
n_s_sez,26
autore,"SUBILIA, VITTORIO"
titolo,LA NUOVA CATTOLICITA' DEL CATTOLICESIMO UNA VALUTAZIONE PROTESTANTE DEL CONCILIO VATICANO SECONDO
edizione,I
luogo_pub,TORINO
editore,CLAUDIANA
data_pub,COPYRIGHT 1967
volume,2025-01-01 00:00:00
pagine,313
formato,24
collezion,SOLA SCRIPTURA / NUOVI STUDI TEOLOGICI N. 1
data_crea,2003-01-25 00:00:00
n_scheda,41560
segnatura,SR*
noName,218 S
cod_sez,TD
n_s_sez,7
autore,"SUBILIA, VITTORIO"
edizione,I
luogo_pub,TORINO
editore,CLAUDIANA
data_pub,COPYRIGHT 1976
volume,2025-01-01 00:00:00
pagine,123
formato,24
collezion,COLLANA DELLA FACOLTA' VALDESE DI TEOLOGIA N. 13
data_crea,2003-01-25 00:00:00
n_scheda,41559
segnatura,SR*
noName,230 S
cod_sez,BL
n_s_sez,6
autore,"SUBILIA, VITTORIO"
titolo,SOLUS CHRISTUS IL MESSAGGIO CRISTIANO NELLA PROSPETTIVA PROTESTANTE
edizione,I
luogo_pub,TORINO
editore,CLAUDIANA
data_pub,COPYRIGHT 1985
volume,2025-01-01 00:00:00
pagine,163
formato,22
collezion,SOLA SCRIPTURA N.10
data_crea,2003-01-25 00:00:00
n_scheda,41558
segnatura,SR*
noName,220.6 R1
cod_sez,BL
n_s_sez,4
autore,"RENDTORFF, ROLF"
collabor,"S. ROSTAGNO,B. BELLION, TRAD."
edizione,I
luogo_pub,TORINO
editore,CLAUDIANA
data_pub,COPYRIGHT 1968
volume,2025-01-01 00:00:00
pagine,84
formato,19
collezion,PICCOLA BIBLIOTECA TEOLOGICA N.16
data_crea,2003-01-25 00:00:00
n_scheda,41557
segnatura,SR*
noName,220.6 R
cod_sez,BL
n_s_sez,4
autore,"RENDTORFF, ROLF"
titolo,"PROTAGONISTI DELL'ANTICO TESTAMENTO PATRIARCHI, RE E PROFETI"
collabor,"E. SPEZIALE, TRAD."
edizione,I
luogo_pub,TORINO
editore,CLAUDIANA
data_pub,COPYRIGHT 1978
volume,2025-01-01 00:00:00
pagine,144
formato,19
collezion,PICCOLA BIBLIOTECA TEOLOGICA N.12
data_crea,2003-01-25 00:00:00
n_scheda,41556
segnatura,SR*
noName,241 C
cod_sez,TD
n_s_sez,27
autore,"CULLMANN, OSCAR"
collabor,"G. STELLA, TRAD."
edizione,III
luogo_pub,BRESCIA
editore,MORCELLIANA
data_pub,COPYRIGHT 1974
volume,2025-01-01 00:00:00
pagine,79
formato,18
collezion,U.M.M.
data_crea,2003-01-25 00:00:00
n_scheda,41555
segnatura,SR*
noName,230 G
cod_sez,TD
n_s_sez,27
autore,"GISEL, PIERRE"
collabor,"A. BALLETTO, TRAD."
edizione,I
luogo_pub,TORINO
editore,MARIETTI
data_pub,COPYRIGHT 1987
volume,2025-01-01 00:00:00
pagine,235
formato,22
collezion,DABAR/ SAGGI TEOLOGICI N. 13
data_crea,2003-01-25 00:00:00
n_scheda,41554
segnatura,SR*
noName,241 M
cod_sez,TD
n_s_sez,27
autore,"MOLTMANN, JURGEN"
collabor,"G. MORETTO, TRAD."
edizione,II
luogo_pub,BRESCIA
editore,QUERINIANA
data_pub,COPYRIGHT 1973
volume,2025-01-01 00:00:00
pagine,193
formato,20
collezion,TEMI DI TEOLOGIA N. 1
data_crea,2003-01-25 00:00:00
n_scheda,41553
segnatura,SR*
noName,232.7 AV
cod_sez,TD
n_s_sez,27
autore,"MOLTMANN, JURGEN"
titolo,"DIBATTITO SU ""IL DIO CROCIFISSO"" DI JURGEN MOLTMANN SKOTTE,"
collabor,"A.V. MOLTMANN,BAUCHMANN,DEMBOWSKI,MIGLIORE,BAUCKHAM,KUHN,KLAPPERT,MI"
edizione,I
luogo_pub,BRESCIA
editore,QUERINIANA
data_pub,COPYRIGHT 1982
volume,2025-01-01 00:00:00
pagine,212
formato,20
collezion,GIORNALE DI TEOLOGIA N. 136
data_crea,2003-01-25 00:00:00
n_scheda,41552
segnatura,SR*
noName,262 B
cod_sez,TD
n_s_sez,27
autore,"BARTH, KARL"
collabor,"B. GHERARDINI, INTROD."
edizione,I
luogo_pub,ROMA
editore,CITTA' NUOVA
data_pub,COPYRIGHT 1970
volume,2025-01-01 00:00:00
pagine,190
formato,20
collezion,DOGMATICA
data_crea,2003-01-25 00:00:00
n_scheda,41551
segnatura,SR*
noName,230 B
cod_sez,TD
n_s_sez,27
autore,"BARTH, KARL"
collabor,"B. GHERARDINI, INTROD."
edizione,I
luogo_pub,ROMA
editore,CITTA' NUOVA
data_pub,COPYRIGHT 1969
volume,2025-01-01 00:00:00
pagine,231
formato,20
collezion,DOGMATICA
data_crea,2003-01-25 00:00:00
n_scheda,41550
segnatura,SR*
noName,241 B3
cod_sez,TD
n_s_sez,27
autore,"BARTH, KARL"
collabor,"A. MOLINARO, TRAD."
edizione,I
luogo_pub,TORINO
editore,GRIBAUDI
data_pub,COPYRIGHT 1969
volume,2025-01-01 00:00:00
pagine,242
formato,19
collezion,TEOLOGIA IN CAMMINO
