field,value,campo,valore,n_scheda
collezion,CRITICA--KIERKEGAARD,collezion,CRITICA--KIERKEGAARD,41280
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41280
segnatura,SR,segnatura,SR,41279
noName,142.5 K13,noName,142.5 K13,41279
cod_sez,FL,cod_sez,FL,41279
n_s_sez,21,n_s_sez,21,41279
autore,"KIERKEGAARD, SOREN",autore,"KIERKEGAARD, SOREN",41279
collabor,"C. FABRO, CURAT.",collabor,"C. FABRO, CURAT.",41279
edizione,II,edizione,II,41279
luogo_pub,BRESCIA,luogo_pub,BRESCIA,41279
editore,MORCELLIANA,editore,MORCELLIANA,41279
data_pub,COPYRIGHT 1962,data_pub,COPYRIGHT 1962,41279
volume,2025-02-02 00:00:00,volume,2025-02-02 00:00:00,41279
pagine,980,pagine,980,41279
formato,18,formato,18,41279
collezion,OPERE DI KIERKEGAARD,collezion,OPERE DI KIERKEGAARD,41279
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41279
segnatura,SR,segnatura,SR,41278
noName,142.5 K12,noName,142.5 K12,41278
cod_sez,FL,cod_sez,FL,41278
n_s_sez,21,n_s_sez,21,41278
autore,"KIERKEGAARD, SOREN",autore,"KIERKEGAARD, SOREN",41278
collabor,"C. FABRO, CURAT.",collabor,"C. FABRO, CURAT.",41278
edizione,II,edizione,II,41278
luogo_pub,BRESCIA,luogo_pub,BRESCIA,41278
editore,MORCELLIANA,editore,MORCELLIANA,41278
data_pub,COPYRIGHT 1962,data_pub,COPYRIGHT 1962,41278
volume,2025-02-01 00:00:00,volume,2025-02-01 00:00:00,41278
pagine,1040,pagine,1040,41278
formato,18,formato,18,41278
collezion,OPERE DI KIERKEGAARD,collezion,OPERE DI KIERKEGAARD,41278
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41278
segnatura,SR,segnatura,SR,41277
noName,142.5 K11,noName,142.5 K11,41277
cod_sez,FL,cod_sez,FL,41277
n_s_sez,21,n_s_sez,21,41277
autore,"KIERKEGAARD, SOREN",autore,"KIERKEGAARD, SOREN",41277
collabor,"C. FABRO, CURAT.",collabor,"C. FABRO, CURAT.",41277
edizione,I,edizione,I,41277
luogo_pub,BRESCIA,luogo_pub,BRESCIA,41277
editore,LA SCUOLA,editore,LA SCUOLA,41277
data_pub,COPYRIGHT 1978,data_pub,COPYRIGHT 1978,41277
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41277
pagine,290,pagine,290,41277
formato,21,formato,21,41277
collezion,ANTOLOGIA DALLE OPERE,collezion,ANTOLOGIA DALLE OPERE,41277
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41277
segnatura,SR,segnatura,SR,41276
noName,142.5 K10,noName,142.5 K10,41276
cod_sez,FL,cod_sez,FL,41276
n_s_sez,21,n_s_sez,21,41276
autore,"KIERKEGAARD, SOREN",autore,"KIERKEGAARD, SOREN",41276
collabor,"L.VAGLIASINDI, TRAD.",collabor,"L.VAGLIASINDI, TRAD.",41276
edizione,I,edizione,I,41276
luogo_pub,TORINO,luogo_pub,TORINO,41276
editore,GRIBAUDI,editore,GRIBAUDI,41276
data_pub,COPYRIGHT 1973,data_pub,COPYRIGHT 1973,41276
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41276
pagine,111,pagine,111,41276
formato,18,formato,18,41276
collezion,FILOSOFIA/RELIGIONE,collezion,FILOSOFIA/RELIGIONE,41276
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41276
segnatura,SR,segnatura,SR,41275
noName,142.5 K9,noName,142.5 K9,41275
cod_sez,FL,cod_sez,FL,41275
n_s_sez,21,n_s_sez,21,41275
autore,"KIERKEGAARD, SOREN",autore,"KIERKEGAARD, SOREN",41275
collabor,"R. CANTONI, CURAT.",collabor,"R. CANTONI, CURAT.",41275
edizione,I,edizione,I,41275
luogo_pub,ROMA,luogo_pub,ROMA,41275
editore,NEW COMPTON,editore,NEW COMPTON,41275
data_pub,COPYRIGHT 1981,data_pub,COPYRIGHT 1981,41275
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41275
pagine,134,pagine,134,41275
formato,21,formato,21,41275
collezion,FILOSOFIA,collezion,FILOSOFIA,41275
note_sp,SAGGI N. 10,note_sp,SAGGI N. 10,41275
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41275
segnatura,SR,segnatura,SR,41274
noName,142.5 K8,noName,142.5 K8,41274
cod_sez,FL,cod_sez,FL,41274
n_s_sez,21,n_s_sez,21,41274
autore,"KIERKEGAARD, SOREN",autore,"KIERKEGAARD, SOREN",41274
collabor,"M. TOSCO, CURAT.",collabor,"M. TOSCO, CURAT.",41274
edizione,I,edizione,I,41274
luogo_pub,TORINO,luogo_pub,TORINO,41274
editore,GRIBAUDI,editore,GRIBAUDI,41274
data_pub,COPYRIGHT 1968,data_pub,COPYRIGHT 1968,41274
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41274
pagine,112,pagine,112,41274
formato,18,formato,18,41274
collezion,FILOSOFIA,collezion,FILOSOFIA,41274
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41274
segnatura,SR,segnatura,SR,41273
noName,142.5 K7,noName,142.5 K7,41273
cod_sez,FL,cod_sez,FL,41273
n_s_sez,21,n_s_sez,21,41273
autore,"KIERKEGAARD, SOREN",autore,"KIERKEGAARD, SOREN",41273
collabor,"C. FABRO, CURAT.",collabor,"C. FABRO, CURAT.",41273
edizione,I,edizione,I,41273
luogo_pub,ROMA,luogo_pub,ROMA,41273
editore,STUDIUM,editore,STUDIUM,41273
data_pub,COPYRIGHT 1970,data_pub,COPYRIGHT 1970,41273
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41273
pagine,408,pagine,408,41273
formato,24,formato,24,41273
collezion,FILOSOFIA,collezion,FILOSOFIA,41273
note_sp,CULTURA N.XLI,note_sp,CULTURA N.XLI,41273
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41273
segnatura,SR,segnatura,SR,41272
noName,142.5 K6,noName,142.5 K6,41272
cod_sez,FL,cod_sez,FL,41272
n_s_sez,21,n_s_sez,21,41272
autore,"KIERKEGAARD, SOREN",autore,"KIERKEGAARD, SOREN",41272
collabor,"E. PACI, TRAD.",collabor,"E. PACI, TRAD.",41272
edizione,I,edizione,I,41272
luogo_pub,TORINO,luogo_pub,TORINO,41272
editore,PARAVIA,editore,PARAVIA,41272
data_pub,COPYRIGHT 1986,data_pub,COPYRIGHT 1986,41272
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41272
pagine,146,pagine,146,41272
formato,20,formato,20,41272
collezion,FILOSOFIA,collezion,FILOSOFIA,41272
note_sp,BIBL. DI FILOSOFIA,note_sp,BIBL. DI FILOSOFIA,41272
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41272
segnatura,SR,segnatura,SR,41271
noName,142.5 K5,noName,142.5 K5,41271
cod_sez,FL,cod_sez,FL,41271
n_s_sez,21,n_s_sez,21,41271
autore,"KIERKEGAARD, SOREN",autore,"KIERKEGAARD, SOREN",41271
collabor,"D.T. DONADONI, TRAD.",collabor,"D.T. DONADONI, TRAD.",41271
edizione,I,edizione,I,41271
luogo_pub,TORINO,luogo_pub,TORINO,41271
editore,BORLA,editore,BORLA,41271
data_pub,COPYRIGHT 1963,data_pub,COPYRIGHT 1963,41271
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41271
pagine,254,pagine,254,41271
formato,20,formato,20,41271
collezion,FILOSOFIA,collezion,FILOSOFIA,41271
note_sp,LE IDEE E LA VITA N.7,note_sp,LE IDEE E LA VITA N.7,41271
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41271
segnatura,SR,segnatura,SR,41270
noName,142.5 K4,noName,142.5 K4,41270
cod_sez,FL,cod_sez,FL,41270
n_s_sez,21,n_s_sez,21,41270
autore,"KIERKEGAARD, SOREN",autore,"KIERKEGAARD, SOREN",41270
collabor,"A.G. SABATINI, CURAT.",collabor,"A.G. SABATINI, CURAT.",41270
edizione,I,edizione,I,41270
luogo_pub,ROMA,luogo_pub,ROMA,41270
editore,NEWTON,editore,NEWTON,41270
data_pub,COPYRIGHT 1993,data_pub,COPYRIGHT 1993,41270
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41270
pagine,100,pagine,100,41270
formato,19.5,formato,19.5,41270
collezion,FILOSOFIA,collezion,FILOSOFIA,41270
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41270
segnatura,SR,segnatura,SR,41269
noName,142.5 K3,noName,142.5 K3,41269
cod_sez,FL,cod_sez,FL,41269
n_s_sez,21,n_s_sez,21,41269
autore,"KIERKEGAARD, SOREN",autore,"KIERKEGAARD, SOREN",41269
collabor,"MON. DI ROSANO, TRAD.",collabor,"MON. DI ROSANO, TRAD.",41269
edizione,II,edizione,II,41269
luogo_pub,ALBA,luogo_pub,ALBA,41269
editore,PAOLINE,editore,PAOLINE,41269
data_pub,COPYRIGHT 1970,data_pub,COPYRIGHT 1970,41269
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41269
pagine,366,pagine,366,41269
formato,18.5,formato,18.5,41269
collezion,FILOSOFIA,collezion,FILOSOFIA,41269
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41269
segnatura,SR,segnatura,SR,41268
noName,142.5 K2,noName,142.5 K2,41268
cod_sez,FL,cod_sez,FL,41268
n_s_sez,21,n_s_sez,21,41268
autore,"KIERKEGAARD, SOREN",autore,"KIERKEGAARD, SOREN",41268
collabor,"C. FABRO, CURAT.",collabor,"C. FABRO, CURAT.",41268
edizione,I,edizione,I,41268
luogo_pub,BOLOGNA,luogo_pub,BOLOGNA,41268
editore,ZANICHELLI,editore,ZANICHELLI,41268
data_pub,COPYRIGHT 1982,data_pub,COPYRIGHT 1982,41268
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41268
pagine,381,pagine,381,41268
formato,24,formato,24,41268
collezion,FILOSOFIA,collezion,FILOSOFIA,41268
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41268
segnatura,SR,segnatura,SR,41267
noName,142.5 K1,noName,142.5 K1,41267
cod_sez,FL,cod_sez,FL,41267
n_s_sez,21,n_s_sez,21,41267
autore,"KIERKEGAARD, SOREN",autore,"KIERKEGAARD, SOREN",41267
collabor,"C. FABRO, CURAT.",collabor,"C. FABRO, CURAT.",41267
edizione,I,edizione,I,41267
luogo_pub,TORINO,luogo_pub,TORINO,41267
editore,SEI,editore,SEI,41267
data_pub,COPYRIGHT 1972,data_pub,COPYRIGHT 1972,41267
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41267
pagine,275,pagine,275,41267
formato,19.5,formato,19.5,41267
collezion,FILOSOFIA,collezion,FILOSOFIA,41267
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41267
segnatura,SR,segnatura,SR,41266
noName,142.5 K,noName,142.5 K,41266
cod_sez,FL,cod_sez,FL,41266
n_s_sez,21,n_s_sez,21,41266
autore,"KIERKEGAARD, SOREN",autore,"KIERKEGAARD, SOREN",41266
collabor,"R. CANTONI, CURAT.",collabor,"R. CANTONI, CURAT.",41266
edizione,I,edizione,I,41266
luogo_pub,MILANO,luogo_pub,MILANO,41266
editore,MONDADORI,editore,MONDADORI,41266
data_pub,COPYRIGHT 1975,data_pub,COPYRIGHT 1975,41266
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41266
pagine,215,pagine,215,41266
formato,18,formato,18,41266
collezion,FILOSOFIA,collezion,FILOSOFIA,41266
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41266
segnatura,SR,segnatura,SR,41265
noName,142.5 C3,noName,142.5 C3,41265
cod_sez,FL,cod_sez,FL,41265
n_s_sez,21,n_s_sez,21,41265
autore,"CRISTIN, RENATO",autore,"CRISTIN, RENATO",41265
collabor,"H.G. GADAMER, PREF.",collabor,"H.G. GADAMER, PREF.",41265
edizione,I,edizione,I,41265
luogo_pub,MILANO,luogo_pub,MILANO,41265
editore,BOMPIANI,editore,BOMPIANI,41265
data_pub,COPYRIGHT 1990,data_pub,COPYRIGHT 1990,41265
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41265
pagine,145,pagine,145,41265
formato,22,formato,22,41265
collezion,FILOSOFIA,collezion,FILOSOFIA,41265
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41265
segnatura,SR,segnatura,SR,41264
noName,142.5 H,noName,142.5 H,41264
cod_sez,FL,cod_sez,FL,41264
n_s_sez,21,n_s_sez,21,41264
autore,"HEIDEGGER, MARTIN",autore,"HEIDEGGER, MARTIN",41264
collabor,"P. CHIODI, TRAD.",collabor,"P. CHIODI, TRAD.",41264
edizione,I,edizione,I,41264
luogo_pub,FIRENZE,luogo_pub,FIRENZE,41264
editore,LA NUOVA ITALIA,editore,LA NUOVA ITALIA,41264
data_pub,COPYRIGHT 1968,data_pub,COPYRIGHT 1968,41264
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41264
pagine,355,pagine,355,41264
formato,21,formato,21,41264
collezion,FILOSOFIA,collezion,FILOSOFIA,41264
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41264
segnatura,SR,segnatura,SR,41263
noName,142.5 G5,noName,142.5 G5,41263
cod_sez,FL,cod_sez,FL,41263
n_s_sez,21,n_s_sez,21,41263
autore,"GUITTON, JEAN",autore,"GUITTON, JEAN",41263
collabor,"L.ROLFO, TRAD.",collabor,"L.ROLFO, TRAD.",41263
edizione,I,edizione,I,41263
luogo_pub,MILANO,luogo_pub,MILANO,41263
editore,PAOLINE,editore,PAOLINE,41263
data_pub,COPYRIGHT 1975,data_pub,COPYRIGHT 1975,41263
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41263
pagine,383,pagine,383,41263
formato,21,formato,21,41263
collezion,FILOSOFIA,collezion,FILOSOFIA,41263
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41263
segnatura,SR,segnatura,SR,41262
noName,142.5 G4,noName,142.5 G4,41262
cod_sez,FL,cod_sez,FL,41262
n_s_sez,21,n_s_sez,21,41262
autore,"GUITTON, JEAN",autore,"GUITTON, JEAN",41262
collabor,"M.MESCHIARI, TRAD.",collabor,"M.MESCHIARI, TRAD.",41262
edizione,XIII,edizione,XIII,41262
luogo_pub,MILANO,luogo_pub,MILANO,41262
editore,PAOLINE,editore,PAOLINE,41262
data_pub,COPYRIGHT 1997,data_pub,COPYRIGHT 1997,41262
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41262
pagine,156,pagine,156,41262
formato,20,formato,20,41262
collezion,FILOSOFIA,collezion,FILOSOFIA,41262
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41262
segnatura,SR,segnatura,SR,41261
noName,142.5 G3,noName,142.5 G3,41261
cod_sez,FL,cod_sez,FL,41261
n_s_sez,21,n_s_sez,21,41261
autore,"GUITTON, JEAN",autore,"GUITTON, JEAN",41261
collabor,"G. DI PAOLO, TRAD.",collabor,"G. DI PAOLO, TRAD.",41261
edizione,I,edizione,I,41261
luogo_pub,MILANO,luogo_pub,MILANO,41261
editore,MURSIA,editore,MURSIA,41261
data_pub,COPYRIGHT 1997,data_pub,COPYRIGHT 1997,41261
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41261
pagine,230,pagine,230,41261
formato,21,formato,21,41261
collezion,FILOSOFIA,collezion,FILOSOFIA,41261
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41261
segnatura,SR,segnatura,SR,41260
noName,142.5 G2,noName,142.5 G2,41260
cod_sez,FL,cod_sez,FL,41260
n_s_sez,21,n_s_sez,21,41260
autore,"GARAUDY, ROGER",autore,"GARAUDY, ROGER",41260
collabor,"L. BACCHIARELLO, TRAD.",collabor,"L. BACCHIARELLO, TRAD.",41260
edizione,II,edizione,II,41260
luogo_pub,ASSISI,luogo_pub,ASSISI,41260
editore,CITTADELLA,editore,CITTADELLA,41260
data_pub,COPYRIGHT 1972,data_pub,COPYRIGHT 1972,41260
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41260
pagine,211,pagine,211,41260
formato,20,formato,20,41260
collezion,FILOSOFIA,collezion,FILOSOFIA,41260
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41260
segnatura,SR,segnatura,SR,41259
noName,142.5 E,noName,142.5 E,41259
cod_sez,FL,cod_sez,FL,41259
n_s_sez,21,n_s_sez,21,41259
autore,"EBNER, FERDINAND",autore,"EBNER, FERDINAND",41259
collabor,"E. DUCCI, P. ROSSANO, CURAT.",collabor,"E. DUCCI, P. ROSSANO, CURAT.",41259
edizione,I,edizione,I,41259
luogo_pub,ROMA,luogo_pub,ROMA,41259
editore,ANICIA,editore,ANICIA,41259
data_pub,COPYRIGHT 1991,data_pub,COPYRIGHT 1991,41259
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41259
pagine,212,pagine,212,41259
formato,24,formato,24,41259
collezion,FILOSOFIA,collezion,FILOSOFIA,41259
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41259
segnatura,SR,segnatura,SR,41258
noName,142.5 D1,noName,142.5 D1,41258
cod_sez,FL,cod_sez,FL,41258
n_s_sez,21,n_s_sez,21,41258
autore,"DUCCI, EDDA",autore,"DUCCI, EDDA",41258
edizione,I,edizione,I,41258
luogo_pub,BRESCIA,luogo_pub,BRESCIA,41258
editore,LA SCUOLA,editore,LA SCUOLA,41258
data_pub,COPYRIGHT 1983,data_pub,COPYRIGHT 1983,41258
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41258
pagine,171,pagine,171,41258
formato,21,formato,21,41258
collezion,FILOSOFIA,collezion,FILOSOFIA,41258
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41258
segnatura,SR,segnatura,SR,41257
noName,142.5 D,noName,142.5 D,41257
cod_sez,FL,cod_sez,FL,41257
n_s_sez,21,n_s_sez,21,41257
autore,"DAVY, M.-M.",autore,"DAVY, M.-M.",41257
edizione,I,edizione,I,41257
luogo_pub,PARIS,luogo_pub,PARIS,41257
editore,FLAMMARION,editore,FLAMMARION,41257
data_pub,COPYRIGHT 1959,data_pub,COPYRIGHT 1959,41257
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41257
pagine,347,pagine,347,41257
formato,21,formato,21,41257
collezion,FILOSOFIA,collezion,FILOSOFIA,41257
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41257
segnatura,SR,segnatura,SR,41256
noName,142.5 C2,noName,142.5 C2,41256
cod_sez,FL,cod_sez,FL,41256
n_s_sez,21,n_s_sez,21,41256
autore,"CHIODI, PIETRO",autore,"CHIODI, PIETRO",41256
edizione,I- 7 RIST.,edizione,I- 7 RIST.,41256
luogo_pub,TORINO,luogo_pub,TORINO,41256
editore,LOESCHER,editore,LOESCHER,41256
data_pub,COPYRIGHT 1971,data_pub,COPYRIGHT 1971,41256
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41256
pagine,223,pagine,223,41256
formato,19,formato,19,41256
collezion,FILOSOFIA,collezion,FILOSOFIA,41256
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41256
segnatura,SR,segnatura,SR,41255
noName,142.5 C1,noName,142.5 C1,41255
cod_sez,FL,cod_sez,FL,41255
n_s_sez,21,n_s_sez,21,41255
autore,"CHENU, JOSEPH",autore,"CHENU, JOSEPH",41255
edizione,I,edizione,I,41255
luogo_pub,PARIS,luogo_pub,PARIS,41255
editore,AUBIER,editore,AUBIER,41255
data_pub,COPYRIGHT 1948,data_pub,COPYRIGHT 1948,41255
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41255
pagine,229,pagine,229,41255
formato,19,formato,19,41255
collezion,LETTERATURA E FILOSOFIA,collezion,LETTERATURA E FILOSOFIA,41255
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41255
segnatura,SR,segnatura,SR,41254
noName,142.5 C,noName,142.5 C,41254
cod_sez,FL,cod_sez,FL,41254
n_s_sez,21,n_s_sez,21,41254
autore,"CAMUS, ALBERT",autore,"CAMUS, ALBERT",41254
collabor,"B. DAL FABBRO, TRAD.",collabor,"B. DAL FABBRO, TRAD.",41254
edizione,III,edizione,III,41254
luogo_pub,MILANO,luogo_pub,MILANO,41254
editore,BOMPIANI,editore,BOMPIANI,41254
data_pub,COPYRIGHT 1965,data_pub,COPYRIGHT 1965,41254
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41254
pagine,295,pagine,295,41254
formato,21,formato,21,41254
collezion,LETTERATURA E FILOSOFIA,collezion,LETTERATURA E FILOSOFIA,41254
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41254
segnatura,SR,segnatura,SR,41253
noName,141.8 B1,noName,141.8 B1,41253
cod_sez,FL,cod_sez,FL,41253
n_s_sez,21,n_s_sez,21,41253
autore,"BELANGER, GERARD",autore,"BELANGER, GERARD",41253
edizione,I,edizione,I,41253
luogo_pub,PARIS,luogo_pub,PARIS,41253
editore,ED. OUVRIERES,editore,ED. OUVRIERES,41253
data_pub,COPYRIGHT 1965,data_pub,COPYRIGHT 1965,41253
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41253
pagine,180,pagine,180,41253
formato,19.5,formato,19.5,41253
collezion,FILOSOFIA / PEDAGOGIA,collezion,FILOSOFIA / PEDAGOGIA,41253
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41253
segnatura,SR,segnatura,SR,41252
noName,141.8 A,noName,141.8 A,41252
cod_sez,FL,cod_sez,FL,41252
n_s_sez,21,n_s_sez,21,41252
autore,"FLORES D'ARCAIS, GIUSEPPE",autore,"FLORES D'ARCAIS, GIUSEPPE",41252
edizione,I,edizione,I,41252
luogo_pub,BRESCIA,luogo_pub,BRESCIA,41252
editore,LA SCUOLA,editore,LA SCUOLA,41252
data_pub,COPYRIGHT 1987,data_pub,COPYRIGHT 1987,41252
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41252
pagine,149,pagine,149,41252
formato,20.5,formato,20.5,41252
collezion,FILOSOFIA / PEDAGOGIA,collezion,FILOSOFIA / PEDAGOGIA,41252
data_crea,2003-01-09 00:00:00,data_crea,2003-01-09 00:00:00,41252
segnatura,SR,segnatura,SR,41251
noName,142.5 S8,noName,142.5 S8,41251
cod_sez,FL,cod_sez,FL,41251
n_s_sez,21,n_s_sez,21,41251
collabor,CARLA BETTINELLI,collabor,CARLA BETTINELLI,41251
edizione,I,edizione,I,41251
luogo_pub,MILANO,luogo_pub,MILANO,41251
editore,VITA E PENSIERO,editore,VITA E PENSIERO,41251
data_pub,COPYRIGHT 1976,data_pub,COPYRIGHT 1976,41251
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41251
pagine,224,pagine,224,41251
formato,19,formato,19,41251
collezion,FILOSOFIA,collezion,FILOSOFIA,41251
data_crea,2003-01-08 00:00:00,data_crea,2003-01-08 00:00:00,41251
segnatura,SR,segnatura,SR,41250
noName,142.5 S7,noName,142.5 S7,41250
cod_sez,FL,cod_sez,FL,41250
n_s_sez,21,n_s_sez,21,41250
autore,"SOTTIAUX, EDGARD",autore,"SOTTIAUX, EDGARD",41250
edizione,I,edizione,I,41250
luogo_pub,LOUVAIN,luogo_pub,LOUVAIN,41250
editore,NAUWELAERTS,editore,NAUWELAERTS,41250
data_pub,COPYRIGHT 1956,data_pub,COPYRIGHT 1956,41250
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41250
pagine,220,pagine,220,41250
formato,18,formato,18,41250
collezion,FILOSOFIA,collezion,FILOSOFIA,41250
data_crea,2003-01-08 00:00:00,data_crea,2003-01-08 00:00:00,41250
segnatura,SR,segnatura,SR,41249
noName,142.5 S6,noName,142.5 S6,41249
cod_sez,FL,cod_sez,FL,41249
n_s_sez,21,n_s_sez,21,41249
autore,"STEIN, EDITH",autore,"STEIN, EDITH",41249
collabor,"L. VIGONE, TRAD.",collabor,"L. VIGONE, TRAD.",41249
edizione,I,edizione,I,41249
luogo_pub,ROMA,luogo_pub,ROMA,41249
editore,CITTA' NUOVA,editore,CITTA' NUOVA,41249
data_pub,COPYRIGHT 1988,data_pub,COPYRIGHT 1988,41249
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41249
pagine,560,pagine,560,41249
formato,20,formato,20,41249
collezion,FILOSOFIA,collezion,FILOSOFIA,41249
data_crea,2003-01-08 00:00:00,data_crea,2003-01-08 00:00:00,41249
segnatura,SR,segnatura,SR,41248
noName,142.5 A,noName,142.5 A,41248
cod_sez,FL,cod_sez,FL,41248
n_s_sez,21,n_s_sez,21,41248
autore,"AUDRY, COLETTE",autore,"AUDRY, COLETTE",41248
collabor,G. DACIO GIANI,collabor,G. DACIO GIANI,41248
edizione,I,edizione,I,41248
luogo_pub,FIRENZE,luogo_pub,FIRENZE,41248
editore,SANSONI,editore,SANSONI,41248
data_pub,COPYRIGHT 1970,data_pub,COPYRIGHT 1970,41248
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41248
pagine,239,pagine,239,41248
formato,20,formato,20,41248
collezion,FILOSOFIA,collezion,FILOSOFIA,41248
data_crea,2003-01-08 00:00:00,data_crea,2003-01-08 00:00:00,41248
segnatura,SR,segnatura,SR,41247
noName,142.5 S5,noName,142.5 S5,41247
cod_sez,FL,cod_sez,FL,41247
n_s_sez,21,n_s_sez,21,41247
autore,"STEFANINI, LUIGI",autore,"STEFANINI, LUIGI",41247
edizione,I,edizione,I,41247
luogo_pub,PADOVA,luogo_pub,PADOVA,41247
editore,CEDAM,editore,CEDAM,41247
data_pub,COPYRIGHT 1952,data_pub,COPYRIGHT 1952,41247
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41247
pagine,370,pagine,370,41247
formato,23,formato,23,41247
collezion,FILOSOFIA,collezion,FILOSOFIA,41247
data_crea,2003-01-08 00:00:00,data_crea,2003-01-08 00:00:00,41247
segnatura,SR,segnatura,SR,41246
noName,142.5 S4,noName,142.5 S4,41246
cod_sez,FL,cod_sez,FL,41246
n_s_sez,21,n_s_sez,21,41246
autore,"STEFANI, MARIO",autore,"STEFANI, MARIO",41246
edizione,I,edizione,I,41246
luogo_pub,MILANO,luogo_pub,MILANO,41246
editore,VITA E PENSIERO,editore,VITA E PENSIERO,41246
data_pub,COPYRIGHT 1949,data_pub,COPYRIGHT 1949,41246
volume,2025-01-01 00:00:00,volume,2025-01-01 00:00:00,41246
pagine,120,pagine,120,41246
formato,19,formato,19,41246
collezion,FILOSOFIA,collezion,FILOSOFIA,41246
data_crea,2003-01-08 00:00:00,data_crea,2003-01-08 00:00:00,41246
segnatura,SR,segnatura,SR,41245
noName,142.5 G1,noName,142.5 G1,41245
cod_sez,FL,cod_sez,FL,41245
n_s_sez,21,n_s_sez,21,41245
autore,"GIDE, ANDRE",autore,"GIDE, ANDRE",41245
edizione,I,edizione,I,41245
luogo_pub,PARIS,luogo_pub,PARIS,41245
editore,GALLIMARD,editore,GALLIMARD,41245
data_pub,COPYRIGHT 1949,data_pub,COPYRIGHT 1949,41245
volume,2025-02-02 00:00:00,volume,2025-02-02 00:00:00,41245
pagine,1279,pagine,1279,41245
formato,18,formato,18,41245
collezion,FILOSOFIA,collezion,FILOSOFIA,41245
data_crea,2003-01-08 00:00:00,data_crea,2003-01-08 00:00:00,41245
segnatura,SR,segnatura,SR,41244
