n_scheda,titolo,autore,data_pub,luogo_pub,editore,collezion,ext_source,ext_match_score,ext_title,ext_author,ext_year,ext_url,ext_identifiers,n_scheda_field,cod_isbn,cod_sez,collabor,edizione,ext_language,ext_notes,ext_physical_desc,ext_place,ext_publisher,formato,n_s_sez,note_sp,pagine,soggetto
41215,,"ROSMINI, ANTONIO",COPYRIGHT 1979,BRESCIA,MORCELLIANA,FILOSOFIA,OPAC SBN,0.980,Schizzo sulla filosofia moderna / Antonio Rosmini,"Rosmini, Antonio",1881,https://opac.sbn.it/bid/LO10224809,"{""bid"": ""IT\\ICCU\\LO1\\0224809""}",41215,,FL,"CLEMENTE RIVA, CURAT.",VI,ITALIANO,"Estr. da: La sapienza, a. 3. (1881), fasc. 5 e 6.",23 p. ; 25 cm,,,20,6,,436,
41216,,"ROSMINI, ANTONIO",1920,TORINO,PARAVIA,FILOSOFIA / PEDAGOGIA,OPAC SBN,0.880,Antonio Rosmini / Claudio Vasale,"Rosmini, Antonio",1983,https://opac.sbn.it/bid/IEI0213554,"{""bid"": ""IT\\ICCU\\IEI\\0213554""}",41216,,FL,"GIOVANNI GENTILE, CURAT.",I,ITALIANO,"Estr. da: Grande antologia filosofica, Aggiornamento bibliografico, vol. 34.",P. 402-442 ; 24 cm.,,,19.5,6,,407,
41217,,"ROSMINI, ANTONIO",1945,TORINO,PARAVIA,FILOSOFIA / MORALE,OPAC SBN,0.880,Antonio Rosmini / Claudio Vasale,"Rosmini, Antonio",1983,https://opac.sbn.it/bid/IEI0213554,"{""bid"": ""IT\\ICCU\\IEI\\0213554""}",41217,,FL,"C. CAVIGLIONE, CURAT.",II,ITALIANO,"Estr. da: Grande antologia filosofica, Aggiornamento bibliografico, vol. 34.",P. 402-442 ; 24 cm.,,,18,6,,162,
41218,,"ROSMINI, ANTONIO",1965,TORINO,SEI,I CLASSICI DELLA FILOSOFIA,OPAC SBN,0.880,Antonio Rosmini / Claudio Vasale,"Rosmini, Antonio",1983,https://opac.sbn.it/bid/IEI0213554,"{""bid"": ""IT\\ICCU\\IEI\\0213554""}",41218,,FL,"DANTE MORANDO, CURAT.",I,ITALIANO,"Estr. da: Grande antologia filosofica, Aggiornamento bibliografico, vol. 34.",P. 402-442 ; 24 cm.,,,20,6,ESTRATTI,120,
41219,,"ROSMINI, ANTONIO",1963,TORINO,SEI,I CLASSICI DELLA FILOSOFIA,OPAC SBN,0.880,Antonio Rosmini / Claudio Vasale,"Rosmini, Antonio",1983,https://opac.sbn.it/bid/IEI0213554,"{""bid"": ""IT\\ICCU\\IEI\\0213554""}",41219,,FL,"G. BONAFEDE, CURAT.",I,ITALIANO,"Estr. da: Grande antologia filosofica, Aggiornamento bibliografico, vol. 34.",P. 402-442 ; 24 cm.,,,20,6,,136,
41220,,"ROSMINI, ANTONIO",1942,TORINO,L.I.C.E.,PAGINE SCELTE DI ASCETICA,OPAC SBN,1.040,Guida alla vita cristiana : Pagine scelte di ascetica a cura di Manlio Canavesi. Prefazione di Giuseppe Bozzetti,"Rosmini, Antonio",1943,https://opac.sbn.it/bid/CUB0561184,"{""bid"": ""IT\\ICCU\\CUB\\0561184""}",41220,,FL,"MANLIO CANAVESI, CURAT.",I,ITALIANO,L. 12.,16. p. 229,,,16,6,,229,
41221,,"ROSMINI, ANTONIO",1940,DOMODOSSOLA,SODALITAS,PAGINE SCELTE DI ASCETICA,OPAC SBN,0.980,Guida alla vita cristiana : Pagine scelte di ascetica a cura di Manlio Canavesi. Prefazione di Giuseppe Bozzetti,"Rosmini, Antonio",1943,https://opac.sbn.it/bid/CUB0561184,"{""bid"": ""IT\\ICCU\\CUB\\0561184""}",41221,,FL,,I,ITALIANO,L. 12.,16. p. 229,,,16.5,6,,284,
41222,,"ROSMINI, ANTONIO",1950,DOMODOSSOLA,SODALITAS,MEDITAZIONI TRATTE DALLE LETTERE,OPAC SBN,1.040,Alla scuola del Padre : meditazioni tratte dalle lettere di Antonio Rosmini,"Rosmini, Antonio",1950,https://opac.sbn.it/bid/CUB0561052,"{""bid"": ""IT\\ICCU\\CUB\\0561052""}",41222,,FL,,I,ITALIANO,,317 p. ; 17 cm,,,16.5,6,,317,
41223,,"PUSINERI, GIOVANNI",1929,DOMODOSSOLA,SODALITAS,BIOGRAFIA,OPAC SBN,0.940,Rosmini / Giovanni Pusineri,"Pusineri, Giovanni",1929,https://opac.sbn.it/bid/LO10412462,"{""bid"": ""IT\\ICCU\\LO1\\0412462""}",41223,,FL,,II,ITALIANO,,"XIV, 297 p., [10] carte di tav. : ill., ritratti ; 20 cm",,,20,21,,350,
41224,,"MORANDO, DANTE",1945,BRESCIA,LA SCUOLA,MAESTRI DEL PENSIERO,OPAC SBN,0.940,Rosmini / Dante Morando,"Morando, Dante",1945,https://opac.sbn.it/bid/PBE0087380,"{""bid"": ""IT\\ICCU\\PBE\\0087380""}",41224,,FL,,II,ITALIANO,,158 p. ; 16 cm,,,15.5,21,,160,
41225,,"BUTTIGLIONE, ROCCO",COPYRIGHT 1982,MILANO,JACA BOOK,FILOSOFIA,OPAC SBN,0.880,Il Pascal di del Noce / Rocco Buttiglione,"Buttiglione, Rocco",,https://opac.sbn.it/bid/TSA1842388,"{""bid"": ""IT\\ICCU\\TSA\\1842388""}",41225,,FL,,I,ITALIANO,,,,,23,21,,346,
41226,,"STEFANINI, LUIGI",COPYRIGHT 1952,ROMA,STUDIUM,FILOSOFIA,OPAC SBN,0.838,Sanmario storico della filosofia / Luigi Stefanini,"Stefanini, Luigi <1934- >",1937,https://opac.sbn.it/bid/RCA0027925,"{""bid"": ""IT\\ICCU\\RCA\\0027925""}",41226,,FL,,I,ITALIANO,Tit. sul dorso : Storia della filosofia.,208 p. ; 20 cm,,,17,21,,162,
41227,,"SCIACCA, MICHELE FEDERICO",COPYRIGHT 1960,TORINO,SEI,FILOSOFIA,OPAC SBN,1.040,"La filosofia, oggi","Sciacca, Michele Federico",1959,https://opac.sbn.it/bid/SBL0497215,"{""bid"": ""IT\\ICCU\\SBL\\0497215""}",41227,,FL,"A. CANTONI, CURAT.",I,ITALIANO,Sul front. 1958 .,2 v. : 2 tav. ; 22 cm,,,24,21,,192,
41228,,"KANT, IMMANUEL",COPYRIGHT 1972,BARI,LATERZA,FILOSOFIA,OPAC SBN,0.980,La filosofia como sistema / Manuel Kant,"Kant, Immanuel",1948,https://opac.sbn.it/bid/TO00506819,"{""bid"": ""IT\\ICCU\\TO0\\0506819""}",41228,,FL,"F.CAPRA, TRAD.",I,SPAGNOLO,,86 p. ; 23 cm,,,18,21,,228,
41229,,"KANT, IMMANUEL",COPYRIGHT 1966,BARI,LATERZA,FILOSOFIA,OPAC SBN,0.980,La filosofia como sistema / Manuel Kant,"Kant, Immanuel",1948,https://opac.sbn.it/bid/TO00506819,"{""bid"": ""IT\\ICCU\\TO0\\0506819""}",41229,,FL,"GV. GENTILE, TRAD.",I,SPAGNOLO,,86 p. ; 23 cm,,,18,21,,286,
41230,,"KANT, IMMANUEL",COPYRIGHT 1966,BARI,LATERZA,FILOSOFIA,OPAC SBN,0.980,La filosofia como sistema / Manuel Kant,"Kant, Immanuel",1948,https://opac.sbn.it/bid/TO00506819,"{""bid"": ""IT\\ICCU\\TO0\\0506819""}",41230,,FL,"GV. GENTILE, TRAD.",I,SPAGNOLO,,86 p. ; 23 cm,,,18,21,,286 - 775,
41231,,"KANT, IMMANUEL",COPYRIGHT 1923,TORINO,PARAVIA,FILOSOFIA,OPAC SBN,0.980,La filosofia como sistema / Manuel Kant,"Kant, Immanuel",1948,https://opac.sbn.it/bid/TO00506819,"{""bid"": ""IT\\ICCU\\TO0\\0506819""}",41231,,FL,"G. VIDARI, TRAD.",I,SPAGNOLO,,86 p. ; 23 cm,,,20,21,,96,
41232,,"KANT, IMMANUEL",COPYRIGHT 1940,VERONA,LA SCALIGERA,FILOSOFIA,OPAC SBN,0.980,La filosofia como sistema / Manuel Kant,"Kant, Immanuel",1948,https://opac.sbn.it/bid/TO00506819,"{""bid"": ""IT\\ICCU\\TO0\\0506819""}",41232,,FL,"M. DAL PRA, TRAD.",I,SPAGNOLO,,86 p. ; 23 cm,,,20,21,,168,
41233,,"GALLUPPI, PASQUALE",COPYRIGHT 1949,TORINO,SEI,FILOSOFIA,OPAC SBN,0.980,Elementi di filosofia / Pasquale Galluppi,"Galluppi, Pasquale",1963,https://opac.sbn.it/bid/UMC1007147,"{""bid"": ""IT\\ICCU\\UMC\\1007147""}",41233,,FL,,I,ITALIANO,,volumi ; 24 cm.,,,19,21,,141,
41234,,"CHIODI, PIETRO",COPYRIGHT 1985,TORINO,LOESCHER,FILOSOFIA,OPAC SBN,0.980,Filosofia e discorso / Pietro Chiodi,"Chiodi, Pietro",1959,https://opac.sbn.it/bid/RMS2703129,"{""bid"": ""IT\\ICCU\\RMS\\2703129""}",41234,,FL,,I,ITALIANO,"Estr. da: Rivista di filosofia, Volume L - N. 2, Aprile 1959.",P. 180-193 ; 25 cm,,,20,21,,153,
